tsa_num,region
19,coast
21,coast
25,coast
30,coast
31,coast
33,coast
37,coast
38,coast
39,coast
44,coast
10,interior_n
12,interior_n
14,interior_n
16,interior_n
20,interior_n
24,interior_n
3,interior_n
4,interior_n
40,interior_n
41,interior_n
43,interior_n
45,interior_n
8,interior_n
1,interior_s
11,interior_s
13,interior_s
15,interior_s
17,interior_s
18,interior_s
2,interior_s
22,interior_s
23,interior_s
26,interior_s
27,interior_s
29,interior_s
5,interior_s
7,interior_s
9,interior_s
