id,name
0,BASE-BASE
1,BASE-HWP1
2,FM1+3-BASE
3,FM1+3-HWP1
4,FM1-BASE
5,FM1-HWP1
6,FM2-BASE
7,FM2-HWP1
8,FM3-BASE
9,FM3-HWP1
10,FM4-BASE
11,FM4-HWP1
