scenario,tsa_num,sawnwood,panels,otherirw,pulppaper,bioenergycommodities,bioenergyharvest,bioenergyharvestresidue,bioenergymillresidue
CBM_Base_HWP_Base,33.0,0.9208889,0.9208889,0.9208889,2.390904,0.9208889,0.9208889,0.9208889,0.9208889
CBM_Base_HWP_Base,37.0,0.7066677,0.7066677,0.7066677,1.834721,0.7066677,0.7066677,0.7066677,0.7066677
CBM_Base_HWP_Base,38.0,1.209529,1.209529,1.209529,3.140301,1.209529,1.209529,1.209529,1.209529
CBM_Base_HWP_Base,39.0,1.055486,1.055486,1.055486,2.740358,1.055486,1.055486,1.055486,1.055486
CBM_Base_HWP_Base,40.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_Base_HWP_Base,41.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_Base_HWP_Base,43.0,0.6960649,0.6960649,0.6960649,1.807193,0.6960649,0.6960649,0.6960649,0.6960649
CBM_Base_HWP_Base,44.0,1.870824,1.870824,1.870824,4.857219,1.870824,1.870824,1.870824,1.870824
CBM_Base_HWP_Base,45.0,1.846037,1.846037,1.846037,4.792866,1.846037,1.846037,1.846037,1.846037
CBM_Base_HWP_LLP,1.0,1.023576,1.023576,1.023576,2.65751,1.023576,1.023576,1.023576,1.023576
CBM_Base_HWP_LLP,2.0,0.4405597,0.4405597,0.4405597,1.143825,0.4405597,0.4405597,0.4405597,0.4405597
CBM_Base_HWP_LLP,3.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_Base_HWP_LLP,4.0,0.5583216,0.5583216,0.5583216,1.44957,0.5583216,0.5583216,0.5583216,0.5583216
CBM_Base_HWP_LLP,5.0,1.831981,1.831981,1.831981,4.756373,1.831981,1.831981,1.831981,1.831981
CBM_Base_HWP_LLP,7.0,1.831782,1.831782,1.831782,4.755856,1.831782,1.831782,1.831782,1.831782
CBM_Base_HWP_LLP,8.0,1.845085,1.845085,1.845085,4.790395,1.845085,1.845085,1.845085,1.845085
CBM_Base_HWP_LLP,9.0,0.524078,0.524078,0.524078,1.360664,0.524078,0.524078,0.524078,0.524078
CBM_Base_HWP_LLP,10.0,1.858704,1.858704,1.858704,4.825753,1.858704,1.858704,1.858704,1.858704
CBM_Base_HWP_LLP,11.0,0.8473631,0.8473631,0.8473631,2.200009,0.8473631,0.8473631,0.8473631,0.8473631
CBM_Base_HWP_LLP,12.0,1.838402,1.838402,1.838402,4.773042,1.838402,1.838402,1.838402,1.838402
CBM_Base_HWP_LLP,13.0,0.5842435,0.5842435,0.5842435,1.516872,0.5842435,0.5842435,0.5842435,0.5842435
CBM_Base_HWP_LLP,14.0,1.864804,1.864804,1.864804,4.841589,1.864804,1.864804,1.864804,1.864804
CBM_Base_HWP_LLP,15.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_Base_HWP_LLP,16.0,0.5446209,0.5446209,0.5446209,1.413999,0.5446209,0.5446209,0.5446209,0.5446209
CBM_Base_HWP_LLP,17.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_Base_HWP_LLP,18.0,1.849771,1.849771,1.849771,4.802559,1.849771,1.849771,1.849771,1.849771
CBM_Base_HWP_LLP,19.0,0.7623888,0.7623888,0.7623888,1.97939,0.7623888,0.7623888,0.7623888,0.7623888
CBM_Base_HWP_LLP,20.0,0.52898,0.52898,0.52898,1.373391,0.52898,0.52898,0.52898,0.52898
CBM_Base_HWP_LLP,21.0,1.007292,1.007292,1.007292,2.615232,1.007292,1.007292,1.007292,1.007292
CBM_Base_HWP_LLP,22.0,1.491316,1.491316,1.491316,3.871904,1.491316,1.491316,1.491316,1.491316
CBM_Base_HWP_LLP,23.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
CBM_Base_HWP_LLP,24.0,1.829471,1.829471,1.829471,4.749856,1.829471,1.829471,1.829471,1.829471
CBM_Base_HWP_LLP,25.0,0.3928668,0.3928668,0.3928668,1.02,0.3928668,0.3928668,0.3928668,0.3928668
